playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts,season_type
8473986,2025,Alex Killorn,ANA,L,all,55,53252.0,1194.0,23.13,0.48,0.5,0.49,0.52,0.5,0.52,309.0,107.08,10.51,7.55,23.72,3.44,52.31,43.49,10.08,10.44,10.02,4.0,7.0,99.0,42.0,31.0,172.0,17.0,6.0,13.0,1.0,25.0,0.0,48.0,49.0,93.0,135.0,12.0,24.0,34.0,49.0,16.0,44.0,99.0,35.0,7.0,3.35,4.82,2.34,0.0,4.0,2.0,170.54,141.0,139.92,14.0,1.67,2.39,2.55,9.63,9.58,9.37,1194.0,138.0,219.0,186.0,651.0,194.0,167.0,173.0,660.0,34.0,59.0,148182.0,24.0,20.0,10.0,24.0,479.81,45.87,44.17,45.89,44.19,436.0,214.0,231.0,881.0,34.0,54.0,5.0,486.0,118.0,46.0,14.13,15.18,16.57,9.0,14.0,11.0,874.81,650.0,647.22,7.09,11.84,11.6,41.36,41.35,40.62,479.64,50.03,47.42,49.96,47.37,408.0,244.0,249.0,901.0,46.0,54.0,3.0,464.0,131.0,57.0,14.68,15.53,19.82,15.0,15.0,16.0,902.67,652.0,652.04,8.22,10.69,10.69,47.56,47.51,46.26,132.6,131.59,2670.0,2431.0,0.0,0.0,0.0,0.0,0.0,0.0,regular
8484762,2025,Beckett Sennecke,ANA,R,all,55,57430.0,1200.0,44.07,0.53,0.48,0.56,0.5,0.56,0.5,257.0,149.22,17.25,11.26,33.86,5.0,73.54,52.1,15.96,17.27,15.99,16.0,10.0,125.0,68.0,48.0,241.0,44.0,18.0,17.0,4.0,23.0,0.0,67.0,68.0,107.0,175.0,18.0,36.0,2.0,59.0,14.0,63.0,121.0,52.0,20.0,4.71,6.35,6.19,5.0,7.0,6.0,240.79,193.0,192.57,12.0,2.58,2.88,4.58,15.25,15.28,14.42,1200.0,191.0,99.0,223.0,687.0,153.0,208.0,199.0,640.0,2.0,2.0,144004.0,36.0,38.0,19.0,16.0,628.68,62.34,59.06,62.07,58.81,541.0,305.0,291.0,1137.0,59.0,73.0,9.0,614.0,173.0,59.0,19.49,21.58,21.27,16.0,26.0,17.0,1127.89,846.0,840.6,9.89,14.79,14.67,57.56,57.38,55.57,495.44,54.59,52.14,54.68,52.24,436.0,240.0,226.0,902.0,53.0,55.0,8.0,473.0,144.0,59.0,14.79,16.84,22.97,15.0,21.0,17.0,911.49,676.0,681.1,6.86,10.44,10.44,51.01,51.16,50.07,116.14,127.04,2414.0,2430.0,0.0,0.0,0.0,0.0,0.0,0.0,regular
8475184,2025,Chris Kreider,ANA,L,all,49,49740.0,1046.0,34.27,0.56,0.47,0.59,0.49,0.59,0.5,249.0,116.91,17.64,9.82,26.24,4.08,58.43,38.8,17.08,17.61,17.05,7.0,4.0,96.0,59.0,42.0,197.0,30.0,19.0,10.0,4.0,21.0,0.0,53.0,52.0,77.0,136.0,10.0,20.0,13.0,45.0,11.0,44.0,84.0,54.0,17.0,3.07,7.01,7.57,4.0,8.0,7.0,193.96,155.0,153.65,17.0,2.35,1.65,4.9,15.1,15.04,14.86,1046.0,209.0,89.0,180.0,568.0,122.0,148.0,184.0,592.0,13.0,21.0,129252.0,20.0,6.0,3.0,17.0,540.26,55.94,53.47,55.69,53.22,457.0,282.0,288.0,1027.0,63.0,69.0,7.0,538.0,148.0,53.0,16.75,18.31,20.89,22.0,22.0,19.0,1016.32,739.0,733.0,9.23,13.91,13.91,51.27,51.04,49.46,384.67,44.75,43.13,45.13,43.51,350.0,174.0,179.0,703.0,51.0,34.0,3.0,376.0,93.0,55.0,12.03,11.32,21.39,22.0,13.0,16.0,714.45,524.0,531.58,5.6,6.63,6.63,43.72,44.14,43.12,104.96,116.38,2163.0,2220.0,0.0,0.0,0.0,0.0,0.0,0.0,regular
8483445,2025,Cutter Gauthier,ANA,L,all,54,56331.0,1159.0,57.29,0.56,0.47,0.59,0.48,0.58,0.49,238.0,218.3,18.0,13.78,53.19,7.34,119.4,87.3,17.4,17.99,17.4,13.0,11.0,205.0,94.0,93.0,392.0,48.0,24.0,23.0,0.0,36.0,0.0,111.0,105.0,181.0,275.0,9.0,18.0,40.0,44.0,13.0,53.0,232.0,53.0,14.0,6.46,6.5,5.03,6.0,13.0,5.0,388.94,299.0,297.23,13.0,3.06,4.78,2.32,18.74,18.75,18.48,1159.0,184.0,110.0,173.0,692.0,158.0,178.0,201.0,622.0,40.0,49.0,141503.0,18.0,28.0,14.0,16.0,634.08,61.1,58.28,61.01,58.24,553.0,312.0,340.0,1205.0,69.0,74.0,12.0,647.0,160.0,58.0,19.08,19.88,22.14,20.0,26.0,23.0,1199.23,865.0,862.34,9.89,13.92,13.92,57.07,57.02,55.42,459.84,48.99,46.7,49.25,46.96,417.0,205.0,231.0,853.0,52.0,47.0,6.0,421.0,155.0,46.0,13.03,18.75,17.21,21.0,18.0,13.0,865.39,622.0,627.35,6.59,8.73,8.73,46.84,47.13,45.9,113.2,129.95,2273.0,2423.0,0.0,0.0,0.0,0.0,0.0,0.0,regular
8481563,2025,Drew Helleson,ANA,D,all,48,50288.0,1140.0,8.58,0.43,0.51,0.46,0.54,0.46,0.54,207.0,34.79,1.11,1.81,10.17,1.14,20.47,15.32,1.09,1.11,1.09,3.0,6.0,33.0,17.0,57.0,107.0,11.0,2.0,6.0,0.0,4.0,0.0,18.0,20.0,31.0,48.0,10.0,20.0,0.0,54.0,22.0,37.0,49.0,1.0,0.0,0.97,0.13,0.0,2.0,0.0,0.0,106.84,50.0,50.64,26.0,0.37,1.0,0.0,1.47,1.48,1.46,1140.0,110.0,146.0,173.0,711.0,131.0,164.0,144.0,701.0,0.0,0.0,125734.0,20.0,8.0,4.0,68.0,391.06,32.64,31.86,32.56,31.8,346.0,185.0,201.0,732.0,36.0,32.0,2.0,408.0,97.0,26.0,11.97,11.58,9.09,14.0,14.0,8.0,731.68,531.0,532.21,5.16,6.14,5.8,32.0,32.0,31.64,459.46,42.51,39.94,42.5,39.96,420.0,205.0,232.0,857.0,53.0,49.0,4.0,455.0,129.0,41.0,14.8,15.26,12.45,27.0,20.0,6.0,863.16,625.0,627.02,7.05,9.02,9.02,40.54,40.62,39.54,122.46,117.16,2368.0,2046.0,0.0,0.0,0.0,0.0,0.0,0.0,regular
8478366,2025,Frank Vatrano,ANA,R,all,38,28145.0,653.0,7.02,0.46,0.5,0.48,0.53,0.48,0.53,350.0,71.34,7.81,4.58,17.08,2.48,37.34,27.7,7.45,7.72,7.37,1.0,2.0,68.0,29.0,21.0,118.0,6.0,3.0,4.0,0.0,15.0,0.0,38.0,37.0,65.0,94.0,10.0,26.0,5.0,67.0,5.0,15.0,68.0,18.0,11.0,1.87,2.07,3.88,1.0,1.0,1.0,117.34,97.0,96.57,7.0,1.01,0.88,2.66,6.16,6.09,5.96,653.0,80.0,88.0,97.0,388.0,114.0,92.0,83.0,364.0,5.0,8.0,110906.0,26.0,20.0,7.0,24.0,241.16,20.09,19.29,19.88,19.09,229.0,102.0,130.0,461.0,14.0,22.0,2.0,262.0,53.0,16.0,7.34,6.95,5.79,3.0,8.0,3.0,457.32,331.0,329.53,3.6,4.41,4.41,19.28,19.14,18.69,261.83,23.57,22.74,23.71,22.88,222.0,131.0,138.0,491.0,24.0,29.0,4.0,262.0,72.0,19.0,8.53,8.72,6.31,6.0,12.0,6.0,495.81,353.0,356.1,3.81,5.37,5.37,22.0,22.12,21.74,103.38,101.84,2028.0,1805.0,0.0,0.0,0.0,0.0,0.0,0.0,regular
8482178,2025,Ian Moore,ANA,D,all,40,33781.0,803.0,13.33,0.54,0.48,0.53,0.5,0.54,0.5,222.0,52.4,3.2,2.84,15.02,1.76,28.68,21.49,3.07,3.19,3.06,4.0,2.0,39.0,34.0,35.0,108.0,8.0,2.0,2.0,0.0,18.0,0.0,22.0,29.0,37.0,71.0,9.0,18.0,0.0,16.0,13.0,30.0,65.0,5.0,3.0,1.68,0.67,0.85,1.0,1.0,0.0,107.35,73.0,73.38,17.0,0.59,0.31,0.71,3.08,3.09,3.03,803.0,83.0,90.0,104.0,526.0,106.0,117.0,84.0,496.0,0.0,0.0,112470.0,18.0,6.0,3.0,60.0,299.62,25.0,24.17,24.62,23.82,253.0,160.0,156.0,569.0,21.0,30.0,2.0,321.0,70.0,22.0,9.52,8.92,6.55,10.0,7.0,4.0,560.89,413.0,408.41,4.07,5.85,5.85,23.21,23.01,22.68,251.79,21.64,20.72,21.86,20.9,205.0,141.0,168.0,514.0,23.0,19.0,2.0,265.0,65.0,16.0,8.53,7.59,5.52,15.0,6.0,2.0,523.32,346.0,350.15,3.52,4.41,4.41,20.75,20.97,20.37,101.1,109.91,1928.0,1916.0,0.0,0.0,0.0,0.0,0.0,0.0,regular
8481605,2025,Jackson LaCombe,ANA,D,all,55,80927.0,1525.0,39.72,0.51,0.49,0.54,0.5,0.54,0.5,82.0,112.24,7.21,7.94,29.83,4.01,66.52,44.49,6.64,7.24,6.66,16.0,13.0,109.0,51.0,86.0,246.0,35.0,6.0,17.0,1.0,23.0,0.0,47.0,67.0,103.0,154.0,5.0,10.0,0.0,48.0,31.0,76.0,143.0,12.0,5.0,3.88,1.59,1.74,3.0,2.0,1.0,244.84,160.0,159.18,52.0,1.81,2.84,2.33,6.69,6.71,6.53,1525.0,232.0,288.0,263.0,742.0,127.0,139.0,270.0,989.0,0.0,0.0,120507.0,10.0,16.0,8.0,94.0,796.8,82.58,78.72,82.38,78.53,729.0,360.0,394.0,1483.0,79.0,96.0,11.0,785.0,220.0,84.0,23.33,27.91,31.33,19.0,29.0,31.0,1474.19,1089.0,1084.15,13.5,18.72,18.78,77.3,77.19,74.91,693.71,80.82,77.19,80.84,77.25,621.0,322.0,327.0,1270.0,89.0,72.0,7.0,647.0,208.0,88.0,20.29,24.61,35.91,31.0,29.0,29.0,1274.95,943.0,945.44,11.46,16.09,16.09,76.18,76.2,74.32,95.9,100.82,2068.0,2062.0,0.0,0.0,0.0,0.0,0.0,0.0,regular
8476885,2025,Jacob Trouba,ANA,D,all,54,73331.0,1530.0,31.72,0.44,0.53,0.47,0.54,0.48,0.54,118.0,108.16,5.11,6.17,31.87,3.85,63.84,46.15,4.86,5.1,4.84,8.0,8.0,109.0,48.0,71.0,228.0,24.0,8.0,11.0,1.0,29.0,0.0,57.0,52.0,101.0,149.0,8.0,17.0,0.0,100.0,17.0,59.0,146.0,7.0,4.0,2.92,0.82,1.36,4.0,2.0,2.0,226.04,157.0,155.09,44.0,1.3,2.16,0.63,5.78,5.75,5.48,1530.0,138.0,291.0,250.0,851.0,151.0,161.0,234.0,984.0,0.0,0.0,124503.0,17.0,17.0,7.0,108.0,655.31,58.77,56.08,58.81,56.13,587.0,311.0,321.0,1219.0,55.0,79.0,9.0,685.0,155.0,58.0,20.02,19.77,18.98,19.0,20.0,16.0,1211.78,898.0,893.07,9.24,14.28,14.28,53.73,53.76,52.54,736.04,75.04,71.36,75.25,71.57,663.0,329.0,384.0,1376.0,75.0,78.0,5.0,705.0,208.0,79.0,21.14,25.21,28.69,19.0,30.0,26.0,1380.97,992.0,996.25,12.32,15.07,15.07,72.29,72.44,70.47,117.18,102.58,2256.0,1902.0,0.0,0.0,0.0,0.0,0.0,0.0,regular
8478424,2025,Jansen Harkins,ANA,C,all,30,18186.0,440.0,2.58,0.46,0.5,0.47,0.51,0.47,0.51,309.0,24.97,2.55,1.95,5.66,0.83,13.88,9.2,2.4,2.49,2.35,0.0,0.0,20.0,15.0,12.0,47.0,3.0,3.0,3.0,1.0,3.0,1.0,15.0,10.0,17.0,32.0,5.0,13.0,88.0,86.0,4.0,18.0,22.0,11.0,2.0,0.62,1.34,0.59,0.0,2.0,1.0,46.45,35.0,34.54,6.0,0.41,0.43,0.96,2.0,1.98,1.9,440.0,47.0,42.0,62.0,289.0,62.0,75.0,48.0,255.0,88.0,90.0,91912.0,13.0,21.0,10.0,18.0,127.89,10.17,9.73,10.04,9.6,107.0,72.0,72.0,251.0,5.0,12.0,1.0,140.0,31.0,8.0,3.99,3.57,2.61,1.0,2.0,2.0,248.88,179.0,176.97,1.83,2.32,2.39,9.61,9.49,9.2,144.99,12.02,11.63,12.06,11.66,135.0,63.0,84.0,282.0,10.0,12.0,0.0,150.0,35.0,13.0,4.47,3.99,3.56,3.0,5.0,2.0,282.02,198.0,197.43,1.94,2.08,2.08,11.87,11.86,11.53,85.18,86.03,1622.0,1569.0,0.0,0.0,0.0,0.0,0.0,0.0,regular
8479705,2025,Jeffrey Viel,ANA,L,all,18,12038.0,284.0,6.63,0.59,0.49,0.56,0.49,0.59,0.49,168.0,31.23,3.18,2.38,7.57,1.09,15.99,11.79,3.01,3.17,2.99,1.0,0.0,25.0,17.0,13.0,55.0,3.0,2.0,2.0,1.0,4.0,0.0,20.0,14.0,23.0,40.0,9.0,27.0,1.0,54.0,3.0,5.0,31.0,7.0,4.0,1.18,0.91,1.1,1.0,0.0,1.0,55.13,42.0,42.29,1.0,0.5,0.43,1.13,2.55,2.54,2.46,284.0,29.0,35.0,54.0,166.0,46.0,34.0,45.0,159.0,1.0,1.0,54078.0,27.0,23.0,7.0,9.0,132.68,10.79,10.21,10.82,10.25,101.0,78.0,66.0,245.0,8.0,15.0,1.0,140.0,30.0,9.0,3.69,3.9,3.2,4.0,2.0,2.0,249.16,179.0,181.76,1.76,2.14,2.14,10.41,10.51,10.18,88.9,7.47,7.24,7.47,7.24,77.0,45.0,70.0,192.0,9.0,11.0,1.0,93.0,23.0,6.0,2.8,2.96,1.71,6.0,2.0,1.0,191.05,122.0,121.12,1.28,1.86,1.86,6.89,6.86,6.74,51.92,54.45,880.0,915.0,0.0,0.0,0.0,0.0,0.0,0.0,regular
8484153,2025,Leo Carlsson,ANA,C,all,44,51412.0,1024.0,44.29,0.52,0.47,0.59,0.49,0.57,0.49,119.0,121.33,12.32,8.65,27.9,4.01,65.68,45.45,11.86,12.33,11.88,15.0,11.0,107.0,57.0,54.0,218.0,44.0,18.0,17.0,2.0,20.0,1.0,54.0,54.0,89.0,146.0,8.0,19.0,315.0,8.0,19.0,52.0,116.0,34.0,14.0,4.1,4.16,4.05,9.0,5.0,4.0,215.73,164.0,162.86,14.0,1.96,2.97,3.88,10.39,10.34,10.13,1024.0,175.0,130.0,191.0,528.0,129.0,132.0,172.0,591.0,315.0,378.0,109406.0,19.0,22.0,11.0,15.0,566.3,56.25,53.76,56.2,53.71,496.0,278.0,296.0,1070.0,63.0,73.0,8.0,568.0,152.0,54.0,17.18,18.98,20.1,22.0,23.0,18.0,1059.55,774.0,768.26,9.73,14.86,14.86,51.12,51.01,49.77,421.79,51.15,48.82,51.4,49.05,361.0,212.0,182.0,755.0,56.0,42.0,2.0,385.0,125.0,63.0,12.13,15.15,23.86,15.0,24.0,17.0,765.26,573.0,578.32,6.64,8.55,8.55,49.23,49.47,48.21,84.72,96.7,1809.0,1915.0,0.0,0.0,0.0,0.0,0.0,0.0,regular
8482745,2025,Mason McTavish,ANA,C,all,50,49056.0,1017.0,31.74,0.55,0.48,0.56,0.5,0.56,0.5,270.0,138.24,17.42,9.88,31.67,4.64,70.54,48.86,16.51,17.13,16.25,11.0,6.0,106.0,77.0,47.0,230.0,30.0,13.0,17.0,1.0,24.0,1.0,54.0,74.0,93.0,170.0,17.0,36.0,317.0,55.0,11.0,37.0,116.0,53.0,14.0,4.07,6.89,6.46,4.0,5.0,4.0,227.55,183.0,180.64,9.0,2.25,3.85,3.91,15.75,15.6,15.16,1017.0,180.0,78.0,165.0,594.0,133.0,164.0,163.0,557.0,317.0,318.0,133904.0,36.0,24.0,12.0,27.0,533.5,51.82,49.18,51.38,48.78,447.0,276.0,275.0,998.0,47.0,58.0,5.0,534.0,142.0,47.0,17.18,17.79,16.85,18.0,15.0,14.0,987.23,723.0,716.36,8.44,11.78,11.78,48.48,48.15,46.75,425.72,42.68,41.04,43.02,41.39,378.0,197.0,202.0,777.0,49.0,47.0,7.0,400.0,137.0,38.0,12.92,16.39,13.37,21.0,18.0,10.0,790.22,575.0,583.29,5.97,8.14,8.14,40.51,40.9,40.19,110.33,121.85,2250.0,2234.0,0.0,0.0,0.0,0.0,0.0,0.0,regular
8475798,2025,Mikael Granlund,ANA,C,all,37,42020.0,850.0,22.89,0.52,0.49,0.53,0.51,0.54,0.51,111.0,85.66,10.18,6.53,19.11,3.05,45.85,31.27,9.71,10.1,9.65,7.0,7.0,77.0,39.0,31.0,147.0,26.0,12.0,7.0,1.0,9.0,0.0,47.0,41.0,65.0,104.0,6.0,12.0,238.0,23.0,13.0,33.0,81.0,24.0,11.0,2.68,2.87,4.62,3.0,3.0,6.0,145.43,116.0,115.5,9.0,1.56,0.92,1.88,9.85,9.85,9.62,850.0,146.0,135.0,136.0,433.0,96.0,119.0,149.0,486.0,238.0,266.0,93399.0,12.0,20.0,10.0,26.0,457.27,47.78,44.85,47.66,44.75,426.0,196.0,187.0,809.0,42.0,58.0,5.0,442.0,133.0,47.0,12.74,16.52,18.52,7.0,20.0,15.0,801.63,622.0,618.28,8.21,11.59,11.59,44.4,44.37,42.7,378.83,44.07,42.16,44.06,42.15,354.0,166.0,191.0,711.0,49.0,34.0,6.0,373.0,106.0,41.0,11.71,12.72,19.64,20.0,14.0,15.0,717.45,520.0,522.34,5.87,7.29,7.29,42.65,42.61,41.55,76.15,79.17,1601.0,1528.0,0.0,0.0,0.0,0.0,0.0,0.0,regular
8481754,2025,Nikita Nesterenko,ANA,C,all,29,21327.0,510.0,8.02,0.48,0.51,0.47,0.54,0.49,0.53,258.0,35.66,3.47,2.2,8.24,1.22,17.38,14.48,3.33,3.43,3.29,6.0,2.0,31.0,16.0,22.0,69.0,9.0,1.0,1.0,1.0,5.0,0.0,21.0,19.0,30.0,46.0,3.0,8.0,11.0,53.0,1.0,14.0,30.0,12.0,5.0,0.76,1.44,1.27,0.0,1.0,0.0,68.29,47.0,46.2,5.0,0.48,0.2,0.8,3.15,3.1,3.03,510.0,46.0,75.0,91.0,298.0,66.0,65.0,65.0,314.0,11.0,17.0,84501.0,8.0,8.0,4.0,8.0,169.01,15.03,14.52,14.91,14.41,141.0,90.0,86.0,317.0,12.0,18.0,2.0,175.0,40.0,16.0,4.65,5.16,5.22,2.0,6.0,4.0,314.85,231.0,229.0,2.26,2.94,2.94,14.35,14.25,13.96,181.01,16.25,15.54,16.37,15.65,166.0,79.0,118.0,363.0,17.0,11.0,0.0,183.0,51.0,11.0,5.55,6.25,4.46,8.0,3.0,6.0,365.32,245.0,247.06,2.68,2.0,2.0,16.93,17.02,16.52,79.97,77.44,1611.0,1369.0,0.0,0.0,0.0,0.0,0.0,0.0,regular
8482803,2025,Olen Zellweger,ANA,D,all,54,57196.0,1205.0,29.4,0.52,0.49,0.55,0.5,0.55,0.5,219.0,104.75,7.17,6.54,27.84,3.58,59.46,43.4,6.88,7.16,6.87,7.0,5.0,90.0,58.0,84.0,232.0,18.0,6.0,14.0,0.0,26.0,0.0,56.0,46.0,84.0,142.0,13.0,24.0,0.0,25.0,15.0,42.0,129.0,13.0,6.0,3.35,1.38,2.44,3.0,2.0,1.0,230.6,148.0,148.09,27.0,1.39,2.89,1.57,7.0,7.0,6.89,1205.0,111.0,87.0,163.0,844.0,170.0,216.0,142.0,677.0,0.0,0.0,140638.0,24.0,26.0,13.0,57.0,580.8,48.01,45.67,47.95,45.65,485.0,304.0,294.0,1083.0,53.0,69.0,7.0,613.0,138.0,38.0,18.29,17.67,12.05,22.0,24.0,7.0,1075.42,789.0,785.41,8.24,13.25,13.22,43.03,43.04,42.05,480.23,43.53,42.09,43.59,42.16,438.0,212.0,251.0,901.0,46.0,45.0,5.0,476.0,137.0,37.0,14.34,16.95,12.24,14.0,20.0,12.0,907.04,650.0,654.08,6.69,7.9,8.05,42.17,42.21,41.6,127.19,133.22,2404.0,2385.0,0.0,0.0,0.0,0.0,0.0,0.0,regular
8483490,2025,Pavel Mintyukov,ANA,D,all,50,53836.0,1207.0,16.6,0.46,0.51,0.47,0.54,0.47,0.54,207.0,62.43,4.37,3.73,16.95,2.13,35.38,25.43,4.18,4.3,4.12,3.0,6.0,50.0,38.0,49.0,137.0,15.0,6.0,8.0,0.0,14.0,0.0,31.0,29.0,44.0,82.0,2.0,4.0,0.0,25.0,12.0,42.0,77.0,7.0,4.0,2.01,0.68,1.69,2.0,3.0,1.0,135.93,88.0,87.23,26.0,0.77,1.97,0.89,4.25,4.21,4.07,1207.0,105.0,157.0,172.0,773.0,159.0,168.0,143.0,737.0,0.0,0.0,129488.0,4.0,16.0,8.0,74.0,455.94,42.22,40.73,41.93,40.47,381.0,243.0,223.0,847.0,37.0,50.0,4.0,470.0,114.0,40.0,14.73,14.01,13.48,12.0,17.0,8.0,843.42,624.0,621.2,6.51,9.95,9.92,38.81,38.61,37.93,513.16,48.83,46.28,49.15,46.57,440.0,253.0,272.0,965.0,47.0,55.0,5.0,510.0,130.0,53.0,16.51,15.31,17.02,18.0,15.0,14.0,976.57,693.0,698.94,8.16,10.13,10.13,46.87,47.18,45.72,122.2,115.77,2400.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,regular
8475462,2025,Radko Gudas,ANA,D,all,42,42473.0,920.0,15.1,0.49,0.5,0.49,0.53,0.49,0.53,191.0,52.56,1.45,2.79,15.0,1.88,31.74,25.15,1.41,1.42,1.39,4.0,5.0,48.0,30.0,51.0,129.0,10.0,1.0,6.0,0.0,12.0,0.0,26.0,33.0,47.0,77.0,12.0,28.0,0.0,145.0,8.0,35.0,78.0,0.0,0.0,1.45,0.0,0.0,1.0,0.0,0.0,125.96,78.0,76.76,26.0,0.56,1.43,0.26,1.75,1.72,1.69,920.0,62.0,82.0,139.0,637.0,141.0,158.0,122.0,499.0,0.0,0.0,111426.0,28.0,16.0,5.0,71.0,387.33,34.37,32.84,34.11,32.59,319.0,213.0,209.0,741.0,30.0,50.0,4.0,407.0,93.0,32.0,12.38,11.7,10.29,11.0,13.0,6.0,728.28,532.0,526.33,5.28,9.25,9.58,30.07,29.82,29.3,395.86,36.34,35.0,36.67,35.31,350.0,194.0,218.0,762.0,42.0,37.0,7.0,407.0,106.0,31.0,13.33,12.32,10.69,16.0,17.0,9.0,776.26,544.0,550.72,5.98,6.82,6.82,35.51,35.81,35.21,102.92,103.13,2001.0,1781.0,0.0,0.0,0.0,0.0,0.0,0.0,regular
